id,gender,age,location,children_in_house,highest_qualification,employment,housework_week,interest_sustainability,sustainability_daily_think,primary_driver_sustainable_activities,insterest_sustainability_origin,sustainability_important,sustainability_barrier,energy_action,energy_action_often,energy_action_comment,water_action,water_action_often,water_action_comment,food_action,food_action_often,food_action_comment,waste_action,waste_action_often,waste_action_comment,other_action,other_action_often,other_action_comment,gender_thoughts
1,Female,21-29,Singapore ,2,Bachelor degree,"Not employed, looking for work",7-10 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",School,Waste ,Unnecessary packaging and the waste management systems ,BCDEFGH,Often,NA,BD,Often,NA,ABCD,Often,I'm vegetarian and Use a food waste bin ,ABCDEFG,All the time,I never throw reusable items away ,ABC,All the time,NA,"Women certainly use more products than men (e.g. Cosmetic products, clothes, accessories etc) but women also seem to have a more concerned attitude towards protecting the natural environment "
2,Female,21-29,"Edinburgh, UK",0,High school diploma or equivalent,Student,1-3 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Studying courses after having a concern over the environment,"waste (buying too much, one use items) and energy",not knowing what the best alternative is,BDEFG,Often,NA,AG,Often,NA,BCD,All the time,NA,ACDE,Often,NA,B,Often,NA,"In my case, me and the male in my house have very similar takes on sustainability  "
3,Female,18-20,"Edinburgh, UK",0,Some university but no degree,"Employed, working part-time",4-6 hours,Yes,Never,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I like breathing,Waste/food waste & sustainable fashion,am student,DEF,Often,limited ability to change behaviours/home b/c student flat,G,Often,"Don't have a dishwasher, otherwise we would; limited ability to change behaviours/home b/c student flat",BD,All the time,"don't eat red meat because of negative environmental impact; otherwise, limited ability to change behaviours/grow food b/c student budget/flat",ABCDEFG,Often,Foodsharing/SHRUB/Meadows Share 4 Lyf,BC,All the time,NA,I don't think it matters? Maybe people make different efforts depending on gender but at the end of the day it seems like everyone makes different efforts depending on what works best for their personal lifestyle
4,Female,40-49,"Wilmington, NC",1,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,Sometimes,"No, my partner and I are equally involved in sustainable activities",General environmental concern,"Energy, waste",Convenience and cost,BCDFGH,Sometimes,My husband has instigated much of this but I was in full agreement,ABH,Sometimes,Try to minimize regular use without making significant modifications ,CD,Sometimes,My husband is a stickler about wasting food.  We both try to be conscientious about it,ADEFG,Often,I hate to put things in the trash unnecessarily.  I do not want to add to the landfill.  Reusable is also generally more cost efficient.  ,A,Often,I have a baby that I don't want exposed to chemicals if possible. ,I would say that our nationalities have more effect than our gender.
5,Female,40-49,"Wilmington, NC",0,Post-graduate degree,"Employed, working full-time",1-3 hours,Yes,Never,"Yes, I encourage the other members of my house to be more sustainable in their actions.",Global warming,"Recycling, water, energy ",Lack of insight ,BDFGH,All the time,NA,ABEG,Often,NA,CD,Often,NA,ADE,Often,NA,AB,Often,NA,NA
6,Female,21-29,"Edinburgh, UK",0,Post-graduate degree,Student,4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Not destroying the planet we live on,Recycling and energy consumption ,Rented accommodation ,BDEGH,Often,It's become second nature,ABEGH,Often,"Again, second nature",ABCD,All the time,"My partner is vegetarian, and I don't eat much meat. We care very much about our food, who grows it, and where is grows. ",ACDEFG,Often,"Don't ha e the room to compost in our flat, but if we could, we definitely would!",ABC,All the time,"We always buy fair trade if we can, and my partner has an amazing green thumb, so the flat is COVERED in plants! Pretty as well as functional!","We're pretty equally concerned in our home, and gender doesn't have much to do with it (with maybe the use of toilet paper as an exception!)"
7,Female,21-29,"London, UK",0,Bachelor degree,Student,4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",The unsustainability of our food system,Health and food ,Time,BDEFGH,Sometimes,"Difficult to answer this because for example we all know to put on the dishwasher when it is full and not otherwise. No one in particular instigates this action. However, for other energy related behaviors, I do consider myself responsible like hanging up clothes.",B,Sometimes,NA,BCD,Often,NA,ADE,Sometimes,NA,B,Sometimes,NA,NA
8,Male,50-59,"Askam, UK",2,Post-graduate degree,"Employed, working full-time",7-10 hours,Somewhat,Sometimes,"No, my partner and I are equally involved in sustainable activities",resources will run out,food waste energy,access to facilities and supply (including cost),DEFH,All the time,NA,AB,Sometimes,NA,ABCD,Sometimes,"partner will buy organic, and grows her own food and is vegetarian",ACDEFG,Often,packaging is problematical and there should be less,BC,Sometimes,NA,not sure that it does
9,Male,21-29,"Edinburgh, UK",0,Bachelor degree,Student,7-10 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities","An interest in, and appreciation for, the natural world and its fragility","Energy usage in the home and for transport, food origins.",The availability of accessible land on which to grow food and compost food waste,BCDEFGH,All the time,NA,AEFG,Sometimes,NA,ABCD OTHER,All the time,NA,ABCDEFG,Often,NA,AC,Often,NA,NA
10,Female,21-29,"Edinburgh, UK",0,Bachelor degree,"Not employed, looking for work",10+ hours,Somewhat,Often,"No, my partner and I are equally involved in sustainable activities",Environment concerns,Preventing waste (food/energy/water),Travel,ABDEFG,Often,NA,ABG,Often,NA,BCD,All the time,NA,ADEG,Sometimes,NA,ABC,Sometimes,"Always try, but if better alternatives are not available I don't go out my way for it ",NA
11,Female,50-59,"Wilmington, NC",1,Post-graduate degree,"Employed, working full-time",7-10 hours,Yes,Often,"Yes, I encourage the other members of my house to be more sustainable in their actions.",I'm a science teacher!,"Energy, water, native plants",Time ,ABDEFG,Often,"Constantly check thermostats, consolidate laundry, change out lightbulbs",ABEFGH,Often,"Limit shower time (difficult with a teenage daughter), energy company distributed free low flow showerheads, monitor sprinklers",CD,Often,Cook more and try to use local produce. ,ACDEFG,Often,Recycle can has twice as much in it than the regular trash so I can tell that I'm doing better. I've been using refillable bottles for water more than before. ,ABC,Often,Lots of plants! Glad to see more eco-friendly items available now.,It's taken me quite a long time to get my husband on board. He's been doing much better and is definitely more aware.
12,Female,21-29,"Belfast, Northern Ireland",0,Some university but no degree,Student,7-10 hours,Yes,Sometimes,"Yes, I encourage the other members of my house to be more sustainable in their actions.",My upbringing- always taught to respect the world around us,Food,Money,BCDEFG,Often,NA,ABEH,Often,NA,ABCD,Sometimes,NA,ABDEG,Sometimes,NA,B,Rarely,NA,Cleaning and cooking are still mainly female oriented and thus I should be able to implement changes.
13,Female,30-39,"Lancaster, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",had it as long as I can remember,"energy, waste","supermarket packaging, expense of green energy options",BCDEFG,All the time,NA,ABGH,All the time,NA,BD,All the time,NA,ACDF,All the time,NA,C,Often,NA,"I instigate, my partner follows. I'm more interested in protecting planet whereas my husband is more interested in money saving"
14,Female,40-49,"Wilmington, NC",2,Post-graduate degree,"Employed, working full-time",10+ hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities",Wanting to make better choices for my family,"Food, water, energy",Time,BCDEFG,Often,Interested in solar power and trying to figure that back into our home,ABH,Often,Need to get a rain barrel!,ACD,Often,Leftovers are how we make it through the week.,ACDEFG,All the time,Have been recycling most of my life.,ABC,Often,Using essential oils for cleaning ,"Both of us grew up recycling and growing our own food, now trying to incorporate more into our daily lives."
15,Male,21-29,"Edinburgh, UK",0,What is your gender?,"Employed, working full-time",4-6 hours,Yes,Often,"No, my partner and I are equally involved in sustainable activities","I worry about being myself or  future generations having a lower quality of life than we do in the present. Whether this be because of climate change or the inability to create/source products (machinery, computers, bikes, food etc.)","Food, waste and energy",Poor recycling facilities for things that aren't packaging,BCDGH,Sometimes,I will be insulating my next home. I don't have a dishwasher or tumble dryer. When I have a tumble dryer I use it about 25% of the time.,AH,Sometimes,"No dishwasher. Get dry skin if I take long showers, and also keep my hair short to reduce shower length. Mainly laziness, not me caring about water.",B,Rarely,NA,ABCDEFG,Often,NA,B,Often,"Luckily air is good where I live. When I say ""sustainable"" I sometimes mean things that are built to last to reduce waste. Fair-trade for me is generally just applicable to bananas.","My gut reaction is, it doesn't. But maybe I'm being naive. I suppose that a lot of the ideas society imposes upon us that are unsustainable (throwaway clothes culture, beauty products etc.) are aimed more at women. Conversely, women also seem to be more involved in sustainability groups and societies, and the news/magazines etc. aimed at them do sometimes discuss these things. Perhaps as a result of intersectionality between women from developing countries, less well off women and women's rights in general. Mens products are always ""built to last"" and ""super strong"" but also I feel like men are larger and more likely to break things. Good luck!"
16,Male,21-29,"Edinburgh, UK",0,Post-graduate degree,"Employed, working full-time",4-6 hours,Yes,All the time,"Yes, I encourage the other members of my house to be more sustainable in their actions.",The wild outdoors,"Energy, food and waste",Having family abroad,BDEFG,All the time,NA,GH,Rarely,NA,ABCD,All the time,NA,ABCDEFG,All the time,NA,BC,Often,NA,Can´t see any differences
